"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 19:59:10 UTC 2025","Tue Apr 15 19:59:10 UTC 2025","34","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreNegativeTest","tests.StoreNegativeTest","getNonExistentOrder_ShouldReturn404","Attempt to get an order that does not exist","GET /store/order/{invalidId} should return 404"
"passed","Tue Apr 15 19:59:11 UTC 2025","Tue Apr 15 19:59:11 UTC 2025","64","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreCrudTest","tests.StoreCrudTest","getOrderByIdTest","Get an order by ID","Fetch the order and validate structure and content"
"passed","Tue Apr 15 19:59:10 UTC 2025","Tue Apr 15 19:59:11 UTC 2025","961","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreCrudTest","tests.StoreCrudTest","placeOrderTest","Place a new order","Create a new order and validate schema, ID and status code"
"passed","Tue Apr 15 19:59:09 UTC 2025","Tue Apr 15 19:59:10 UTC 2025","1279","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreNegativeTest","tests.StoreNegativeTest","deleteNonExistentOrder_ShouldReturn404","Attempt to delete an order that does not exist","DELETE /store/order/{invalidId} should return 404"
"passed","Tue Apr 15 19:59:11 UTC 2025","Tue Apr 15 19:59:11 UTC 2025","53","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreCrudTest","tests.StoreCrudTest","deleteOrderTest","Delete an order by ID","Delete the order and ensure successful deletion"
"passed","Tue Apr 15 19:59:11 UTC 2025","Tue Apr 15 19:59:11 UTC 2025","19","Store API Test Suite","Store CRUD + Inventory Tests","tests.StoreCrudTest","tests.StoreCrudTest","inventoryTest","Check store inventory","Validate inventory schema and required keys"
